"DZ_CODE","UR8FOLD","URNAME","Area Name","Council Area","Population","Area Sq Km","People per Sq Km","Overall_SIMD16_rank"
"S01007137",1,"Large Urban Areas","Monikie - 01","Angus","772",0.50393,1531.95880380212,5969
"S01007142",1,"Large Urban Areas","Monikie - 06","Angus","665",0.33578,1980.46339865388,6135
"S01007145",1,"Large Urban Areas","Monifieth West - 01","Angus","863",0.48117,1793.54490097055,4778
"S01007146",1,"Large Urban Areas","Monifieth West - 02","Angus","743",0.20712,3587.29239088451,6058
"S01007147",1,"Large Urban Areas","Monifieth West - 03","Angus","679",0.14921,4550.63333556732,5510
"S01007148",1,"Large Urban Areas","Monifieth West - 04","Angus","514",0.13409,3833.24632709374,6299
"S01007149",1,"Large Urban Areas","Monifieth East - 01","Angus","536",0.12571,4263.78171983136,5641
"S01007150",1,"Large Urban Areas","Monifieth East - 02","Angus","741",0.32303,2293.90459090487,6335
"S01007151",1,"Large Urban Areas","Monifieth East - 03","Angus","944",0.32013,2948.80204916753,6631
"S01007152",1,"Large Urban Areas","Monifieth East - 04","Angus","555",0.16077,3452.13659264788,5561
"S01007153",1,"Large Urban Areas","Monifieth East - 05","Angus","634",0.13201,4802.66646466177,5134
"S01007154",1,"Large Urban Areas","Monifieth East - 06","Angus","749",0.28109,2664.6269877975,4117
"S01007155",1,"Large Urban Areas","Monifieth East - 07","Angus","603",0.10899,5532.617671346,5242
"S01007682",1,"Large Urban Areas","Westend - 01","Dundee City","877",1.96079,447.268702920762,5614
"S01007683",1,"Large Urban Areas","Westend - 02","Dundee City","713",0.22595,3155.56539057314,6222
"S01007684",1,"Large Urban Areas","Westend - 03","Dundee City","758",0.56527,1340.9521113804,5994
"S01007685",1,"Large Urban Areas","Westend - 04","Dundee City","871",0.28471,3059.25327526255,6912
"S01007686",1,"Large Urban Areas","Westend - 05","Dundee City","681",0.16231,4195.67494301029,6378
"S01007687",1,"Large Urban Areas","Westend - 06","Dundee City","839",0.15304,5482.22686879247,6407
"S01007688",1,"Large Urban Areas","Westend - 07","Dundee City","994",0.08851,11230.3694497797,4818
"S01007689",1,"Large Urban Areas","Perth Road - 01","Dundee City","612",0.05219,11726.3843648208,4974
"S01007690",1,"Large Urban Areas","Perth Road - 02","Dundee City","879",0.09015,9750.4159733777,4270
"S01007691",1,"Large Urban Areas","Perth Road - 03","Dundee City","2856",0.82813,3448.73389443686,4936
"S01007692",1,"Large Urban Areas","Perth Road - 04","Dundee City","847",0.05906,14341.3477819167,5229
"S01007693",1,"Large Urban Areas","Perth Road - 05","Dundee City","1039",0.19854,5233.20237735469,3373
"S01007694",1,"Large Urban Areas","Perth Road - 06","Dundee City","1004",0.10251,9794.16642278802,2225
"S01007695",1,"Large Urban Areas","Logie and Blackness - 01","Dundee City","1050",0.08693,12078.6839986196,2960
"S01007696",1,"Large Urban Areas","Logie and Blackness - 02","Dundee City","776",0.0759,10223.9789196311,1932
"S01007697",1,"Large Urban Areas","Logie and Blackness - 03","Dundee City","981",0.14828,6615.8618829242,2991
"S01007698",1,"Large Urban Areas","Logie and Blackness - 04","Dundee City","1075",0.07969,13489.7728698707,2129
"S01007699",1,"Large Urban Areas","Logie and Blackness - 05","Dundee City","819",0.06713,12200.2085505735,1184
"S01007700",1,"Large Urban Areas","Logie and Blackness - 06","Dundee City","971",0.3136,3096.30102040816,4058
"S01007701",1,"Large Urban Areas","City Centre - 01","Dundee City","534",0.11941,4471.98727074784,36
"S01007702",1,"Large Urban Areas","City Centre - 02","Dundee City","1016",0.22033,4611.26492080062,6779
"S01007703",1,"Large Urban Areas","City Centre - 03","Dundee City","815",0.13379,6091.63614619927,3630
"S01007704",1,"Large Urban Areas","City Centre - 04","Dundee City","935",0.07979,11718.2604336383,126
"S01007705",1,"Large Urban Areas","City Centre - 05","Dundee City","793",0.2621,3025.56276230446,1496
"S01007706",1,"Large Urban Areas","City Centre - 06","Dundee City","867",0.21233,4083.26661329063,4397
"S01007707",1,"Large Urban Areas","Docks and Wellgate - 01","Dundee City","1057",0.34985,3021.29484064599,4173
"S01007708",1,"Large Urban Areas","Docks and Wellgate - 02","Dundee City","658",0.11187,5881.82712076517,747
"S01007709",1,"Large Urban Areas","Docks and Wellgate - 03","Dundee City","614",0.11045,5559.07650520598,634
"S01007710",1,"Large Urban Areas","Docks and Wellgate - 04","Dundee City","933",0.2982,3128.77263581489,2671
"S01007711",1,"Large Urban Areas","Docks and Wellgate - 05","Dundee City","1075",0.14575,7375.64322469983,1471
