FeatureCode,DateCode,Measurement,Units,Value
S16000122,2014,Count,Hectares,1617.654
S16000123,2014,Count,Hectares,7462.508
S16000124,2014,Count,Hectares,9806.977
S16000125,2014,Count,Hectares,198035.332
S16000126,2014,Count,Hectares,37511.118
S16000127,2014,Count,Hectares,10353.724
S16000128,2014,Count,Hectares,21464.881
S16000129,2014,Count,Hectares,18687.272
S16000130,2014,Count,Hectares,20157.942
S16000131,2014,Count,Hectares,172003.794
S16000132,2014,Count,Hectares,202983.637
S16000133,2014,Count,Hectares,6847.224
S16000134,2014,Count,Hectares,70604.634
S16000135,2014,Count,Hectares,98980.416
S16000136,2014,Count,Hectares,6379.09
S16000137,2014,Count,Hectares,381494.953
S16000138,2014,Count,Hectares,147062.552
S16000139,2014,Count,Hectares,19339.75
S16000140,2014,Count,Hectares,14280.043
S16000141,2014,Count,Hectares,3778.344
S16000142,2014,Count,Hectares,146665.229
S16000143,2014,Count,Hectares,1124568.487
S16000144,2014,Count,Hectares,210420.728
S16000146,2014,Count,Hectares,4191.368
S12000047,2014,Count,Hectares,132485.968
S12000048,2014,Count,Hectares,528557.505
S08000029,2014,Count,Hectares,132485.968
S08000030,2014,Count,Hectares,752713.735
S16000147,2014,Count,Hectares,2899.301
S16000148,2014,Count,Hectares,13326.451
S02002514,2014,Count,Hectares,560.384
S01006506,2014,Count,Hectares,438.88
S01006507,2014,Count,Hectares,22.35
S01006508,2014,Count,Hectares,27.019
S01006509,2014,Count,Hectares,9.625
S01006510,2014,Count,Hectares,18.008
S01006511,2014,Count,Hectares,40.049
S01006512,2014,Count,Hectares,1399.44
S01006513,2014,Count,Hectares,30.088
S01006514,2014,Count,Hectares,187.73
S01006515,2014,Count,Hectares,554.27
S01006516,2014,Count,Hectares,159.343
S01006517,2014,Count,Hectares,1044.454
S01006518,2014,Count,Hectares,51.923
S01006519,2014,Count,Hectares,30.402
S01006520,2014,Count,Hectares,20.064
S01006521,2014,Count,Hectares,147.382
S01006522,2014,Count,Hectares,37.87
S01006523,2014,Count,Hectares,28.754
S01006524,2014,Count,Hectares,175.171
S01006525,2014,Count,Hectares,35.944
S01006526,2014,Count,Hectares,11.193
S01006527,2014,Count,Hectares,15.624
S01006528,2014,Count,Hectares,46.13
S01006529,2014,Count,Hectares,46.428
S01006530,2014,Count,Hectares,13.004
S01006531,2014,Count,Hectares,16.993
S01006532,2014,Count,Hectares,17.284
S01006533,2014,Count,Hectares,17.24
S01006534,2014,Count,Hectares,19.233
S01006535,2014,Count,Hectares,14.606
S01006536,2014,Count,Hectares,15.409
S01006537,2014,Count,Hectares,26.501
S01006538,2014,Count,Hectares,15.918
S01006539,2014,Count,Hectares,14.549
S01006540,2014,Count,Hectares,30.634
S01006541,2014,Count,Hectares,23.214
S01006542,2014,Count,Hectares,46.859
S01006543,2014,Count,Hectares,20.46
S01006544,2014,Count,Hectares,32.585
S01006545,2014,Count,Hectares,25.667
S01006546,2014,Count,Hectares,16.05
S01006547,2014,Count,Hectares,724.421
S01006548,2014,Count,Hectares,16.99
S01006549,2014,Count,Hectares,42.443
S01006550,2014,Count,Hectares,32.583
S01006551,2014,Count,Hectares,62.828
S01006552,2014,Count,Hectares,20.554
S01006553,2014,Count,Hectares,28.341
S01006554,2014,Count,Hectares,22.288
S01006555,2014,Count,Hectares,31.418
S01006556,2014,Count,Hectares,22.743
S01006557,2014,Count,Hectares,8.377
S01006558,2014,Count,Hectares,15.291
S01006559,2014,Count,Hectares,11.298
S01006560,2014,Count,Hectares,17.918
S01006561,2014,Count,Hectares,13.285
S01006562,2014,Count,Hectares,31.781
S01006563,2014,Count,Hectares,64.901
S01006564,2014,Count,Hectares,10.51
S01006565,2014,Count,Hectares,5.312
S01006566,2014,Count,Hectares,8.824
S01006567,2014,Count,Hectares,5.697
S01006568,2014,Count,Hectares,7.148
S01006569,2014,Count,Hectares,5.658
S01006570,2014,Count,Hectares,11.476
S01006571,2014,Count,Hectares,40.236
S01006572,2014,Count,Hectares,36.551
S01006573,2014,Count,Hectares,12.141
S01006574,2014,Count,Hectares,30.972
S01006575,2014,Count,Hectares,13.513
S01006576,2014,Count,Hectares,11.322
S01006577,2014,Count,Hectares,11.361
S01006578,2014,Count,Hectares,7.303
S01006579,2014,Count,Hectares,6.78
S01006580,2014,Count,Hectares,8.049
S01006581,2014,Count,Hectares,33.283
S01006582,2014,Count,Hectares,14.791
S01006583,2014,Count,Hectares,6.273
S01006584,2014,Count,Hectares,10.206
S01006585,2014,Count,Hectares,9.361
S01006586,2014,Count,Hectares,29.148
S01006587,2014,Count,Hectares,65.531
S01006588,2014,Count,Hectares,6.812
S01006589,2014,Count,Hectares,6.911
S01006590,2014,Count,Hectares,7.241
S01006591,2014,Count,Hectares,5.753
S01006592,2014,Count,Hectares,8.992
S01006593,2014,Count,Hectares,7.206
S01006594,2014,Count,Hectares,7.496
S01006595,2014,Count,Hectares,7.479
S01006596,2014,Count,Hectares,12.767
S01006597,2014,Count,Hectares,4.962
S01006598,2014,Count,Hectares,35.684
S01006599,2014,Count,Hectares,13.487
S01006600,2014,Count,Hectares,33.581
S01006601,2014,Count,Hectares,12.298
S01006602,2014,Count,Hectares,14.739
S01006603,2014,Count,Hectares,16.094
S01006604,2014,Count,Hectares,14.457
S01006605,2014,Count,Hectares,20.627
S01006606,2014,Count,Hectares,42.939
S01006607,2014,Count,Hectares,19.722
S01006608,2014,Count,Hectares,550.984
S01006609,2014,Count,Hectares,18.628
S01006610,2014,Count,Hectares,7.182
S01006611,2014,Count,Hectares,12.818
