"LSOA11CD","LSOA11NM","RUC11CD","RUC11","FID","Mid-2017 population","Area Sq Km","People per Sq Km","LSOA Name (Eng)","LSOA Name - 
ONS classification","Local Authority Name (Eng)","WIMD 2014 Overall Rank(r)","WIMD 2014 Overall Decile","WIMD 2014 Overall Quintile","WIMD 2014 Overall Quartile"
"W01001458","Blaenau Gwent 004E","C1","Urban city and town",34180,"1489","0.56000000000000005","2658.9285714285711","Ebbw Vale North 3","Blaenau Gwent 004E","Blaenau Gwent",1034,6,3,3
"W01001459","Blaenau Gwent 007D","C1","Urban city and town",34181,"1208","0.7208","1675.9156492785794","Ebbw Vale South 1","Blaenau Gwent 007D","Blaenau Gwent",76,1,1,1
"W01001460","Blaenau Gwent 007E","C1","Urban city and town",34182,"1792","5.5850999999999997","320.85370002327625","Ebbw Vale South 2","Blaenau Gwent 007E","Blaenau Gwent",556,3,2,2
"W01001461","Blaenau Gwent 007F","C1","Urban city and town",34183,"1398","0.30730000000000002","4549.3003579563938","Ebbw Vale South 3","Blaenau Gwent 007F","Blaenau Gwent",555,3,2,2
"W01001462","Blaenau Gwent 006A","C1","Urban city and town",34184,"1696","3.6392000000000002","466.03649153660143","Georgetown 1","Blaenau Gwent 006A","Blaenau Gwent",630,4,2,2
"W01001463","Blaenau Gwent 006B","C1","Urban city and town",34185,"1919","0.44520000000000004","4310.4222821203948","Georgetown 2","Blaenau Gwent 006B","Blaenau Gwent",1133,6,3,3
"W01001464","Blaenau Gwent 009A","C1","Urban city and town",34186,"1537","1.5697000000000001","979.16799388418167","Llanhilleth 1","Blaenau Gwent 009A","Blaenau Gwent",165,1,1,1
"W01001465","Blaenau Gwent 009B","D1","Rural town and fringe",34187,"1568","5.0413999999999994","311.02471535684538","Llanhilleth 2","Blaenau Gwent 009B","Blaenau Gwent",263,2,1,1
"W01001466","Blaenau Gwent 009C","D1","Rural town and fringe",34188,"1596","0.7974","2001.5048908954102","Llanhilleth 3","Blaenau Gwent 009C","Blaenau Gwent",365,2,1,1
"W01001467","Blaenau Gwent 005D","C1","Urban city and town",34189,"1941","4.7210999999999999","411.13299866556525","Nantyglo 1","Blaenau Gwent 005D","Blaenau Gwent",221,2,1,1
